record_id,dataset_name,country,country_filter_value,iso2,state_or_region,language,model_family,timestamp_utc,turn_count,prompt_topic,sample_user_prompt_cleaned,assistant_response_summary,toxic,redacted,privacy_level,data_status,source_url,notes
WC_US_0001,allenai/WildChat-4.8M,United States,United States,US,Washington,Spanish,gpt-4o,2024-07-15T00:47:00Z,2,business_email,Explain: Write a professional email asking for a meeting next week.,Drafts a polite and clear business email.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0002,allenai/WildChat-4.8M,United States,United States,US,Texas,English,gpt-4o,2025-06-29T23:26:00Z,3,data_analysis,Create: Show me how to summarize this dataset using Python.,Outlines Pandas steps and summary metrics.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0003,allenai/WildChat-4.8M,United States,United States,US,California,French,gpt-4o,2024-02-16T23:18:00Z,4,data_analysis,Explain: Show me how to summarize this dataset using Python.,Outlines Pandas steps and summary metrics.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0004,allenai/WildChat-4.8M,United States,United States,US,Washington,Spanish,o1-mini,2024-10-19T05:27:00Z,3,personal_planning,Can you: Help me organize my weekly study schedule.,Creates a structured study plan.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0005,allenai/WildChat-4.8M,United States,United States,US,California,Chinese,gpt-4,2024-05-29T16:27:00Z,3,education_homework,Can you: Explain this math concept in simple steps for a student.,Breaks the topic into beginner-friendly steps.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0006,allenai/WildChat-4.8M,United States,United States,US,California,French,gpt-4o,2024-01-18T21:06:00Z,4,health_general_info,How do I: Explain general wellness tips without giving medical diagnosis.,Gives general information and recommends professional advice when needed.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0007,allenai/WildChat-4.8M,United States,United States,US,Georgia,English,gpt-4-turbo,2024-03-10T22:58:00Z,5,creative_writing,Can you: Write a short adventure story with a strong opening scene.,Creates a structured story scene and character setup.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0008,allenai/WildChat-4.8M,United States,United States,US,Florida,Spanish,gpt-3.5-turbo,2023-07-29T13:13:00Z,5,education_homework,Create: Explain this math concept in simple steps for a student.,Breaks the topic into beginner-friendly steps.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0009,allenai/WildChat-4.8M,United States,United States,US,Texas,Chinese,gpt-4o,2024-10-02T01:29:00Z,6,health_general_info,How do I: Explain general wellness tips without giving medical diagnosis.,Gives general information and recommends professional advice when needed.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_US_0010,allenai/WildChat-4.8M,United States,United States,US,Georgia,English,gpt-4o,2025-07-03T09:13:00Z,7,creative_writing,Can you: Write a short adventure story with a strong opening scene.,Creates a structured story scene and character setup.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
