record_id,dataset_name,country,country_filter_value,iso2,state_or_region,language,model_family,timestamp_utc,turn_count,prompt_topic,sample_user_prompt_cleaned,assistant_response_summary,toxic,redacted,privacy_level,data_status,source_url,notes
WC_CA_0001,allenai/WildChat-4.8M,Canada,Canada,CA,Manitoba,English,gpt-4o,2024-01-31T01:02:00Z,8,entertainment_games,Translate: Design a basic game idea with characters and levels.,"Suggests game mechanics, character roles, and progression.",false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0002,allenai/WildChat-4.8M,Canada,Canada,CA,Nova Scotia,English,gpt-4.1-mini,2023-12-12T09:47:00Z,7,job_career,Please help me: Help me improve my resume bullet points for a data role.,Rewrites bullets with stronger action verbs and outcomes.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0003,allenai/WildChat-4.8M,Canada,Canada,CA,Nova Scotia,English,gpt-4o,2023-09-30T16:29:00Z,8,education_homework,Please help me: Explain this math concept in simple steps for a student.,Breaks the topic into beginner-friendly steps.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0004,allenai/WildChat-4.8M,Canada,Canada,CA,British Columbia,English,gpt-3.5-turbo,2025-02-27T21:24:00Z,6,creative_writing,Please help me: Write a short adventure story with a strong opening scene.,Creates a structured story scene and character setup.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0005,allenai/WildChat-4.8M,Canada,Canada,CA,Quebec,French,gpt-4.1-mini,2025-01-01T17:13:00Z,8,entertainment_games,Can you: Design a basic game idea with characters and levels.,"Suggests game mechanics, character roles, and progression.",false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0006,allenai/WildChat-4.8M,Canada,Canada,CA,Ontario,English,gpt-4o,2023-09-28T16:47:00Z,7,data_analysis,Can you: Show me how to summarize this dataset using Python.,Outlines Pandas steps and summary metrics.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0007,allenai/WildChat-4.8M,Canada,Canada,CA,Ontario,English,gpt-3.5-turbo,2025-04-05T14:09:00Z,5,coding_debugging,Explain: Help debug a Python function that reads a CSV file.,Explains debugging steps and suggests a corrected approach.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0008,allenai/WildChat-4.8M,Canada,Canada,CA,Alberta,French,gpt-4.1-mini,2025-01-29T08:12:00Z,7,health_general_info,Please help me: Explain general wellness tips without giving medical diagnosis.,Gives general information and recommends professional advice when needed.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0009,allenai/WildChat-4.8M,Canada,Canada,CA,Quebec,English,gpt-4.1-mini,2025-03-26T01:21:00Z,6,personal_planning,Explain: Help me organize my weekly study schedule.,Creates a structured study plan.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0010,allenai/WildChat-4.8M,Canada,Canada,CA,Ontario,English,gpt-3.5-turbo,2023-09-08T10:23:00Z,7,business_email,Can you: Write a professional email asking for a meeting next week.,Drafts a polite and clear business email.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0011,allenai/WildChat-4.8M,Canada,Canada,CA,British Columbia,French,gpt-4o,2023-04-21T11:46:00Z,4,general_information,Please help me: Give me a simple explanation of how this technology works.,Gives a plain-language overview with examples.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0012,allenai/WildChat-4.8M,Canada,Canada,CA,Alberta,French,gpt-3.5-turbo,2023-09-06T20:29:00Z,1,education_homework,Translate: Explain this math concept in simple steps for a student.,Breaks the topic into beginner-friendly steps.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0013,allenai/WildChat-4.8M,Canada,Canada,CA,Nova Scotia,English,gpt-3.5-turbo,2023-06-30T05:13:00Z,8,personal_planning,Please help me: Help me organize my weekly study schedule.,Creates a structured study plan.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0014,allenai/WildChat-4.8M,Canada,Canada,CA,Alberta,French,gpt-4o,2023-07-01T05:47:00Z,5,personal_planning,Can you: Help me organize my weekly study schedule.,Creates a structured study plan.,false,false,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0015,allenai/WildChat-4.8M,Canada,Canada,CA,Alberta,French,gpt-4o,2024-10-30T02:32:00Z,7,education_homework,Explain: Explain this math concept in simple steps for a student.,Breaks the topic into beginner-friendly steps.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
WC_CA_0016,allenai/WildChat-4.8M,Canada,Canada,CA,Ontario,English,gpt-4o,2023-09-12T17:21:00Z,5,job_career,Explain: Help me improve my resume bullet points for a data role.,Rewrites bullets with stronger action verbs and outcomes.,false,true,safe_preview_no_hash_no_headers,starter_sample_not_full_huggingface_export,https://huggingface.co/datasets/allenai/WildChat-4.8M,Synthetic WildChat-style sample row for project setup. Run included Python script to export real filtered rows from Hugging Face.
