Card ID,Epic,Title,Description,Sprint,Category,Priority,Status,Owner,Story Points,Acceptance Criteria,Dependencies,Deliverable
GAI-001,Project Vision,Finalize project vision and naming,Define the project as Global AI Conversation Analytics Platform with subtitle What the World Asks AI.,Sprint 0,Planning,High,To Do,Product Lead,2,"README includes project vision, capstone value, and core research question.",None,Vision section
GAI-002,Research Scope,Document core questions,"Add the research questions about common topics, country differences, language differences, trends, sentiment, wow insights, and storytelling.",Sprint 0,Planning,High,To Do,Research Lead,2,All core questions are listed in README and reflected in dashboard scope.,GAI-001,Core questions
GAI-003,User Research,Define target users,"Document researcher, consulting firm, and product team personas with goals.",Sprint 0,Product,High,To Do,Product Lead,3,All three target users and goals are included.,GAI-001,Target user personas
GAI-004,Repo Setup,Create project repository structure,"Create folders for data, SQL, source code, dashboard, tests, docs, and assets.",Sprint 0,DevOps,High,To Do,DevOps Lead,3,Folder structure matches README; placeholder files preserve empty folders.,None,Repo scaffold
GAI-005,Repo Setup,Exclude large data files,"Create .gitignore rules for raw data, Parquet, JSONL, database files, audio outputs, and secrets.",Sprint 0,DevOps,High,To Do,DevOps Lead,2,Large source files and .env are ignored; .gitkeep placeholders remain tracked.,GAI-004,.gitignore
GAI-006,Environment,Create environment template,"Create .env.example for database, Hugging Face, translation, ElevenLabs, and optional LLM keys.",Sprint 0,DevOps,Medium,To Do,Backend Lead,2,Template exists with no real secrets.,GAI-004,.env.example
GAI-007,Ethics,Create privacy and ethics policy,"Define rules for sensitive fields, raw chats, redaction, toxic content, translation, LLM, and voice safety.",Sprint 0,Ethics,High,To Do,Data Lead,5,"Policy blocks sensitive raw data from dashboard, translation, LLM, and voice APIs.",GAI-002,Ethics policy
GAI-008,Database,Design PostgreSQL schema,"Create tables for countries, conversations, turns, translations, topic classifications, sentiment, trends, question patterns, voice briefs, and AI extractions.",Sprint 1,Database,High,To Do,Backend Lead,8,Schema runs successfully; keys and relationships support dashboard queries.,GAI-004,SQL schema
GAI-009,Database,Add database indexes,"Create indexes for country, language, topic, time period, sentiment, safe dashboard, question ranks, and JSONB AI extraction data.",Sprint 1,Database,Medium,To Do,Backend Lead,3,Indexes exist and common filters are covered.,GAI-008,Index SQL
GAI-010,Database,Seed target countries,"Seed USA, Canada, United Kingdom, China, Russia, France, Brazil, and Japan with ISO codes and default languages.",Sprint 1,Database,Medium,To Do,Backend Lead,2,All target countries exist in countries table.,GAI-008,Seed SQL
